date,R/B threshold,ResNet-34 U-Net,MobileNetV2 U-Net,max_spread
2025-01-01,0.9965333333333334,0.434968,0.47926,0.5615653333333334
2024-10-24,0.8347619047619048,0.4437872340425532,0.4074510638297873,0.4273108409321175
2024-08-31,0.8536966666666667,0.47041428571428573,0.4637918367346939,0.3899048299319728
2024-08-24,0.47356875,0.14599375,0.0886375,0.38493125
2024-03-31,0.9487428571428572,0.6367957446808511,0.6037914893617021,0.3449513677811551
2024-09-04,0.4067071428571429,0.09582391304347826,0.08396956521739131,0.3227375776397516
2024-01-16,0.2481409090909091,0.5392962264150943,0.5646773584905661,0.31653644939965697
2024-04-10,0.9613033333333333,0.6523145833333334,0.6502604166666667,0.3110429166666666
2024-03-03,0.481184,0.7884812499999999,0.7916833333333333,0.3104993333333333
2024-01-21,0.9507200000000001,0.6582604166666667,0.6425270833333333,0.3081929166666668
